order_id,customer_id,order_date,channel,region,product_category,items,revenue_usd,discount_pct,revenue_after_discount_usd,payment_method,returned
ORD-0010,C10450,2026-01-01,web,APAC,apparel,1,16.56,0.00,16.56,credit_card,false
ORD-0171,C10207,2026-01-01,web,NA,apparel,1,5.00,0.00,5.00,credit_card,false
ORD-0030,C10756,2026-01-02,mobile_app,APAC,beauty,1,47.81,0.00,47.81,paypal,false
ORD-0006,C10026,2026-01-04,mobile_app,NA,apparel,2,259.36,0.00,259.36,credit_card,false
ORD-0158,C10071,2026-01-04,web,LATAM,electronics,2,677.90,0.00,677.90,credit_card,true
ORD-0019,C10596,2026-01-05,web,APAC,home_goods,1,86.24,0.00,86.24,credit_card,false
ORD-0046,C10454,2026-01-05,mobile_app,EMEA,apparel,2,174.85,0.00,174.85,paypal,false
ORD-0073,C10660,2026-01-05,web,EMEA,electronics,1,339.98,0.00,339.98,gift_card,false
ORD-0177,C10913,2026-01-09,web,EMEA,apparel,1,112.24,0.00,112.24,credit_card,false
ORD-0034,C10630,2026-01-10,mobile_app,NA,beauty,1,64.87,0.00,64.87,credit_card,false
ORD-0055,C10378,2026-01-10,mobile_app,NA,apparel,4,514.49,0.00,514.49,credit_card,false
ORD-0072,C10374,2026-01-10,mobile_app,APAC,electronics,1,430.59,0.00,430.59,credit_card,false
ORD-0134,C10919,2026-01-10,mobile_app,NA,books,1,37.11,0.06,34.88,bnpl,false
ORD-0093,C10962,2026-01-11,mobile_app,NA,apparel,5,567.74,0.00,567.74,gift_card,false
ORD-0113,C10284,2026-01-11,mobile_app,EMEA,home_goods,1,136.28,,136.28,paypal,true
ORD-0145,C10300,2026-01-11,marketplace,APAC,apparel,2,126.81,0.00,126.81,credit_card,false
ORD-0154,C10083,2026-01-11,WEB,NA,electronics,2,867.87,0.00,867.87,gift_card,false
ORD-0028,C10254,2026-01-12,mobile_app,EMEA,beauty,1,27.73,0.00,27.73,credit_card,false
ORD-0036,C10776,2026-01-12,web,NA,home_goods,1,145.24,0.00,145.24,credit_card,false
ORD-0112,C10582,2026-01-12,phone,EMEA,beauty,1,59.79,0.00,59.79,credit_card,false
ORD-0053,C10593,2026-01-13,web,NA,apparel,1,66.07,0.00,66.07,credit_card,false
ORD-0054,C10287,2026-01-13,web,NA,apparel,2,27.66,0.00,27.66,paypal,true
ORD-0146,C10068,2026-01-14,mobile_app,EMEA,home_goods,1,123.46,0.00,123.46,credit_card,false
ORD-0153,C10549,2026-01-14,phone,NA,apparel,1,113.47,0.00,113.47,credit_card,false
ORD-0084,C10828,2026-01-15,mobile_app,APAC,books,1,43.81,0.09,39.87,credit_card,false
ORD-0018,C10091,2026-01-17,mobile_app,EMEA,apparel,1,97.97,0.00,97.97,bnpl,false
ORD-0061,C10796,2026-01-18,phone,NA,beauty,6,383.62,0.00,383.62,gift_card,false
ORD-0004,C10876,2026-01-19,web,APAC,beauty,1,44.77,0.00,44.77,credit_card,false
ORD-0012,C10652,2026-01-20,web,APAC,beauty,4,268.54,0.00,268.54,paypal,false
ORD-0044,C10463,2026-01-20,web,EMEA,electronics,1,629.52,0.00,629.52,credit_card,false
ORD-0064,C10927,2026-01-21,web,EMEA,electronics,1,253.05,0.00,253.05,gift_card,false
ORD-0131,C10262,2026-01-21,web,NA,beauty,1,79.10,0.20,63.28,credit_card,false
ORD-0148,C10315,2026-01-21,web,NA,books,3,109.91,0.00,109.91,paypal,false
ORD-0074,C10124,2026-01-22,mobile_app,EMEA,books,1,33.77,0.12,29.72,credit_card,false
ORD-0137,C10264,2026-01-22,marketplace,EMEA,electronics,1,190.27,0.00,190.27,credit_card,false
ORD-0117,C10644,2026-01-23,web,NA,electronics,1,397.92,0.00,397.92,credit_card,true
ORD-0124,C10904,2026-01-23,marketplace,NA,home_goods,1,125.99,0.00,125.99,bnpl,false
ORD-0091,C10832,2026-01-24,mobile_app,EMEA,home_goods,2,201.20,0.00,201.20,credit_card,false
ORD-0159,C10588,2026-01-24,marketplace,LATAM,electronics,1,324.24,0.09,295.06,bnpl,true
ORD-0167,C10011,2026-01-25,web,NA,electronics,1,517.94,0.00,517.94,credit_card,false
ORD-0021,C10514,2026-01-27,mobile_app,LATAM,books,1,36.27,0.00,36.27,credit_card,false
ORD-0170,C10331,2026-01-27,web,NA,beauty,1,53.28,0.16,44.76,credit_card,false
ORD-0175,C10322,2026-01-27,web,APAC,home_goods,5,673.48,0.00,673.48,paypal,false
ORD-0095,C10269,2026-01-29,phone,NA,electronics,2,703.27,0.00,703.27,credit_card,false
ORD-0188,C10347,2026-01-29,web,NA,electronics,1,266.32,,229.04,paypal,false
ORD-0139,C10562,2026-01-30,web,EMEA,books,1,35.41,0.00,35.41,credit_card,false
ORD-0089,C10135,2026-01-31,mobile_app,EMEA,beauty,1,58.82,0.00,58.82,credit_card,false
ORD-0169,C10019,2026-02-01,web,NA,apparel,1,86.56,0.18,70.98,paypal,false
ORD-0009,C10411,2026-02-04,web,EMEA,home_goods,3,410.56,0.00,410.56,credit_card,false
ORD-0173,C10659,2026-02-04,web,APAC,electronics,3,773.95,0.00,773.95,paypal,false
ORD-0013,C10788,2026-02-05,web,EMEA,books,2,41.04,0.00,41.04,paypal,true
ORD-0103,C10898,2026-02-06,mobile_app,EMEA,apparel,1,78.64,0.00,78.64,credit_card,true
ORD-0049,C10014,2026-02-07,web,EMEA,home_goods,1,142.81,0.00,142.81,paypal,false
ORD-0052,C10590,2026-02-07,phone,NA,electronics,1,240.64,0.00,240.64,credit_card,false
ORD-0150,C10419,2026-02-07,web,EMEA,books,1,11.42,0.00,11.42,credit_card,false
ORD-0079,C10397,2026-02-08,marketplace,APAC,home_goods,1,119.18,0.00,119.18,paypal,false
ORD-0123,C10346,2026-02-08,mobile_app,NA,home_goods,1,85.49,0.00,85.49,gift_card,false
